id,name,artist,album,release_date,popularity
41P6Tnd8KIHqON0QIydx6a,the perfect pair,beabadoobee,Beatopia,2022-07-15,78
4icnlpI5IbZcRO9mpixVVW,Where You Are (feat. WILLOW),PinkPantheress,Where you are (feat. WILLOW),2022-04-22,57
5NAOhPAZ57eFAXr3qatS6i,Breathe,Yeat,2093,2024-02-16,83
7CyPwkp0oE8Ro9Dd5CUDjW,"One Of The Girls (with JENNIE, Lily Rose Depp)",The Weeknd,The Idol Episode 4 (Music from the HBO Original Series),2023-06-23,93
1bfRXeYRGJF8aCxUpQ4yOq,Holy Forever,Chris Tomlin,Holy Forever,2022-07-15,64
1o0hKMX2d4wIViz31dR7sG,intellectual greed,brakence,hypochondriac,2022-12-02,51
4iZ4pt7kvcaH6Yo8UoZ4s2,Snooze,SZA,SOS,2022-12-09,90
1DhRbox3xkceP64k3JeYfW,Antisocial (with Travis Scott),Ed Sheeran,No.6 Collaborations Project,2019-07-12,62
4qWCFTuNnmGNdY4egtb4ZY,Otherside,Post Malone,beerbongs & bentleys,2018-04-27,61
3xby7fOyqmeON8jsnom0AT,Nightcrawler (feat. Swae Lee & Chief Keef),Travis Scott,Rodeo,2015-09-04,82
288pVCIQNp4QkhqaUh93ix,Fake Luv,Babyface Ray,For You,2020-04-17,53
1zN6ynJG4PdR61YWv4PQ3Y,All Around Me,Flyleaf,Flyleaf,2006-01-01,68
5GCU2LJWPzoP8Q6nexs61z,Let's Go,Key Glock,Glockoma 2 (Deluxe),2023-06-23,80
6kgaI3kHkqmRimeGQdS4Ga,Who Told You (feat. Drake),J Hus,Beautiful And Brutal Yard,2023-07-14,65
3IV3qgNIzvlf2dmeXX6ADw,PARTY ALL NIGHT!,Lumi Athena,PARTY ALL NIGHT!,2023-10-13,58
1i9lZvlaDdWDPyXEE95aiq,TELEKINESIS (feat. SZA & Future),Travis Scott,UTOPIA,2023-07-28,81
4h5x3XHLVYFJaItKuO2rhy,Ghost in the Machine (feat. Phoebe Bridgers),SZA,SOS,2022-12-09,74
2O4Bb2WCkjlTPO827OnBMI,EASY,LE SSERAFIM,EASY,2024-02-19,85
7E9kejvFw8NDfuu4y3hqkp,LOOK DON’T TOUCH (w/ cade clair),Odetari,LOOK DON’T TOUCH (w/ cade clair),2023-05-17,75
0PiRp1VzEBHp68wY1M7zMs,are you sure?,Loote,lost,2019-06-14,44
5R9a4t5t5O0IsznsrKPVro,Single Ladies (Put a Ring on It),Beyoncé,I AM...SASHA FIERCE,2008-11-17,68
2lophWrG2xqv9CSgSPca5k,Nakamura,Lil Uzi Vert,Pink Tape,2023-06-30,55
1aNUSKBe6UMyMk3pEu9ws7,Atmosphere,FISHER,Atmosphere,2023-08-11,75
1s9DTymg5UQrdorZf43JQm,Fell In Luv (feat. Bryson Tiller),Playboi Carti,Die Lit,2018-05-11,75
0EMT2TczQa7EGAFFVNLDJG,Bring Dat Bag Out (feat. Lil Yachty),Comethazine,Bawskee,2018-08-24,51
43CIWpJaJHRcI4mUSjqgc2,Bad Boy (with Young Thug),Juice WRLD,Bad Boy (with Young Thug),2021-01-15,67
5j7EXlBt6eytNrHD94SDpw,Nun less,mikeeysmind,Nun less,2024-03-22,57
6efkcs2aUBMFKxl0cl2JWQ,Wild Irish Roses,Smino,blkswn,2017-03-14,63
4gh0ZnHzaTMT1sDga7Ek0N,sdp interlude,Travis Scott,Birds In The Trap Sing McKnight,2016-09-16,82
1D2L6MefbXon28PzIk9I3r,92 Explorer,Post Malone,beerbongs & bentleys,2018-04-27,68
0KFBeOOgwCtOgn8yucRy1X,War,Caleb Gordon,War,2024-03-15,67
6PetYmvjKZBjiUYlnlAcn1,this is what space feels like,JVKE,this is what space feels like,2023-09-25,66
1W7zkKgRv9mrLbfdQ8XyH3,Gangsta,Kehlani,Suicide Squad: The Album,2016-08-05,74
5wM6LOw2U6XeIFHfsgI6wU,Love You Back,Madeon,Love You Back,2022-04-27,54
04hPCx9Gc7FF7djBEMZFEw,GEMINI,Ethan Low,GEMINI,2023-03-17,47
7itt4owVS6YYlvlCocceuJ,L'Étoile D'afrique - #18,VDYCD,L'Étoile D'afrique - #18,2023-01-08,69
6HtqOKGigOakVCJfshmMoD,Falling Infinite,Black Math,Falling Infinite,2017-08-25,35
34MJ07N9Bhu6iKPaxSVnCT,Neon Lights,Demi Lovato,Demi,2013-01-01,60
3ySqZ8yGoh4Emi9HiPCCdP,Werewolf (feat. Bring Me The Horizon),Lil Uzi Vert,Pink Tape,2023-06-30,61
0APj5fEsretj3IddGVBwSF,Another Late Night (feat. Lil Yachty),Drake,For All The Dogs,2023-10-05,49
0PA5vHHfpUq7HWiMA1y5TN,Kills,Chief Keef,Dedication,2017-12-01,32
1sxGIhaxY8eF52e1TlShSP,Pardon Me (Lil Yachty feat. Future & Mike WiLL Made-It),Lil Yachty,Lil Boat 3,2020-05-29,72
26AmP3ukYC4Zs9lSGlh55I,Take Me Home,PinkPantheress,Take me home,2022-12-16,60
08smZJCMrfuOQpRTaRmtF2,Roommates,Malcolm Todd,Roommates,2023-06-22,62
0AoBY2Y3qs6dtGgOD6c91N,Alone,Burna Boy,Black Panther: Wakanda Forever - Music From and Inspired By,2022-11-11,70
1aKvZDoLGkNMxoRYgkckZG,Magnetic,ILLIT,SUPER REAL ME,2024-03-25,92
2FWquqPNxte8iqZ3ATQG0p,All I Wanna Do (K) (Feat. Hoody & Loco),Jay Park,EVERYTHING YOU WANTED,2016-10-20,61
1wfYQIXAzt300l6i1aYiNS,Rich Baby Daddy (feat. Sexyy Red & SZA),Drake,For All The Dogs,2023-10-05,57
2iS3P95EkgyRAHx2hLy0ga,deepfake,brakence,hypochondriac,2022-12-02,57
2ISSQPb9LHHiV6ng2NXosL,Beautiful Now,Zedd,True Colors,2015-05-18,68
